route_long_name,route_short_name,agency_id,route_type,route_id
CPWD Quarters HSR Layout ⇔ Attibele Bus Stand,500-DH HSRCPWD-ATB,1,3,2oj
CS-1st Cross Magadi Road ⇔ CS-BEL Factory,BELFGS-40,1,3,1ux
CS-5th Block HBR Layout ⇔ CS-BEML Factory,BEMLA-29,1,3,18p
CS-5th Phase Yelahanka ⇔ CS-BEML Factory,BEML A-7,1,3,39
CS-80 Feet Road Kalyananagara ⇔ CS-Bishop Coton Girls High School,BCGHS-17,1,3,30z
CS-8th Mile ⇔ CS-BMSIT College Campous Yelahanka,BMSIT-1,1,3,184
CS-8th Mile ⇔ CS-ITPL,ITPL-2D,1,3,2k0
CS-ADMC Quarters Office ⇔ CS-Army Public School Kamaraja Road,ARMY-09,1,3,11a
CS-ADMC Quarters Office ⇔ CS-Army Public School Kamaraja Road,ARMY-10,1,3,259
CS-Adishwara Bombay Dying ⇔ CS-Vidyaniketan School Hebbala,VNS-04,1,3,1lg
CS-Ajmeer Apartment Neeladri Road ⇔ CS-Bagmane Tech Park,BTP-09,1,3,a7
CS-Alphine Apartment ⇔ CS-Vidyaniketan School Hebbala,VNS-18,1,3,16l
CS-Aluru ⇔ CS-BEL Factory,BELGS-15,1,3,vp
CS-Ambedkar Institute of Technology ⇔ CS-ITPL,ITPB-3C,1,3,2mn
CS-Anchepalya ⇔ CS-St Benidict School,ST BEN-8,1,3,23g
CS-Anchepalya ⇔ CS-St Benidict School,ST BENEDICT-11.,1,3,o2
CS-Anchepalya ⇔ CS-St Benidict School,ST BENEDICT-14,1,3,1ot
CS-Anchepalya ⇔ CS-St Clare School,SCS-1,1,3,1ny
CS-Anchepalya ⇔ CS-St Clare School,SCS-4,1,3,j7
