stop_name,stop_id,stop_lat,stop_lon
Sarakki Signal,40r,12.90639,77.57373
Sarakki Signal,4cs,12.90657,77.57367
Sarakki Signal,5yb,12.9067,77.57334
Sarala Birla Academy,2e1,12.81159,77.58449
Sarala Birla Academy,4l2,12.81171,77.58446
Saraswathi Nagara,3pa,12.9736,77.53031
Saraswathi Nagara,4ux,12.9738,77.53041
Saraswathipuram,2vs,13.00915,77.53824
Saraswathipuram,5ti,13.00911,77.53816
Sarathi Nagara,1n3,12.87387,77.57322
Sarathi Nagara,39j,12.87397,77.57312
Sarayipalya,308,13.04745,77.62868
Sarayipalya,40z,13.04746,77.62858
Sarjapura,43p,12.86136,77.7856
Sarjapura,5xt,12.86125,77.78568
Sarjapura Circle,15l,12.86089,77.78331
Sarjapura Circle,1oa,12.86102,77.78352
Sarjapura Circle,2h0,12.86073,77.78363
Sarjapura Ring Road Junction,5hz,12.92113,77.66604
Sarjapura Ring Road Junction,hs,12.92203,77.66825
Sarjapura Road Ibbaluru Junction,46a,12.92043,77.66518
Sarjapura Road Ibbaluru Junction,6e3,12.9204,77.66585
Sarjapura Wipro Campus,3gj,12.89903,77.71354
Sarjapura Wipro Campus,5w3,12.89886,77.71369
Sarvajna College/Vijayanagara,54h,12.97572,77.5391
Sasuveghatta,3sc,13.09275,77.47534
Sasuveghatta,423,13.09251,77.47537
Sasuveghatta Cross,5zz,13.08473,77.47535
Sasuveghatta Cross,t6,13.0847,77.47534
Sathanur,3s,13.13183,77.64739
